B_cells,monocytes,myeloid_DC,neutrophils,NK_cells,T_cells
AKAP2,ALDH1A1,AATBC,ADGRE3,ADAMTS1,ABLIM1
BACE2,ALDH2,ABCC3,ADGRG3,ADAMTS10,ACSL6
BANK1,ARHGEF10L,ADGRE1,ADM,ADGRG1,ADTRP
BLK,ARPIN,AIF1,ALDH1A2,AKR1C3,ALS2CL
BLNK,ASGR1,C1QA,ALPL,B3GAT1,APBA2
BTLA,ASGR2,CABP4,ANPEP,B3GNT7,AQP3
BTNL9,CD14,CD1C,ANXA3,BNC2,ATP8B2
CD19,CD163,CD86,APOBEC3A,C1orf21,BCL11B
CD24,CD300E,CDH23,AQP9,CCL5,CACNA1I
CD79A,CD33,CDKN1C,BASP1,CD160,CAMK4
CD79B,CD36,CEBPA,BTNL8,CD226,CCR7
CELSR1,CD68,CKB,C5AR1,CD247,CD2
CNR2,CES1,CLEC10A,CA4,CD7,CD28
COBLL1,CLEC5A,CLEC4F,CCNJL,CLIC3,CD3D
COL19A1,CPVL,CROCC2,CD93,COL6A2,CD3E
COL4A3,CYBB,CSF1R,CEACAM3,CST7,CD3G
COL4A4,CYP1B1,CST3,CHI3L1,CTSW,CD40LG
CPNE5,F13A1,CTSL,CLEC12A,DLG5,CD5
DENND5B,FAM129B,CXCR2P1,CLEC4E,EOMES,CD6
DERL3,FAM198B,CYP4F22,CLEC7A,F2R,CD8A
DSP,FAM198B-AS1,EPB41L3,CMTM2,FASLG,CD8B
EBF1,FBN2,EPS8,CNTNAP3,FCRL6,CD96
EML6,FCN1,FCER1A,CREB5,FGFBP2,CHRM3-AS2
ENAM,FXYD6,FGD2,CRISPLD2,GNLY,DOCK9
FAM129C,HNMT,FMNL2,CSF2RB,GZMA,DPP4
FAM30A,LGALS2,FZD1,CSF3R,GZMB,EDAR
FCER2,LINC00937,GPBAR1,CXCL1,GZMH,EPHX2
FCRL1,LRP1,HES4,CXCL8,GZMM,ETS1
FCRL2,LYZ,HK3,CXCR1,HOPX,FAM102A
FCRL3,MARCO,HLA-DPA1,CXCR2,IL18RAP,FAM153A
FCRL5,MCEMP1,HMOX1,CYP27A1,IL2RB,FAM153B
FCRLA,MGST1,ICAM4,DGAT2,KIR2DL1,FHIT
HLA-DQA1,MS4A6A,KCTD15,DOCK5,KIR2DL3,GATA3
IGHD,MYCL,KLF4,DYSF,KLRB1,GCNT4
IGHG1,NID1,KNDC1,EPHB1,KLRC1,GIMAP5
IGHGP,NRG1,LINC02432,FAM212B,KLRC2,GOLGA7B
IGHJ4,NRGN,LYPD2,FCGR3B,KLRC3,GRAP2
IGHJ5,PID1,MAFB,FFAR2,KLRC4,GZMK
IGHJ6,PLA2G7,MEG3,FPR1,KLRC4-KLRK1,HAPLN3
IGHM,RAB44,MERTK,FPR2,KLRD1,ICOS
IGKC,RASSF4,MRAS,G0S2,KLRF1,IL32
IGKJ1,RIN2,MRC1,GLT1D1,KLRK1,IL7R
IGKJ4,RNASE2,MS4A14,HCAR2,LGR6,INPP4B
IGLC1,S1PR3,MS4A4A,HCAR3,MATK,ITGA6
IGLC2,SGMS2,MS4A7,IL1R1,MLC1,ITK
IGLC3,SIGLEC1,MYOF,IL1R2,MYBL1,LCK
IGLC7,SLC24A4,NAPSB,KCNJ15,NCALD,LEF1
IGLJ2,STAB1,NEURL1,KCNJ2,NCAM1,LEF1-AS1
IGLL5,TFEC,NR4A1,KIAA1324,NCR1,LINC00402
IKZF3,TGFBI,PDK4,KREMEN1,NKG7,LINC00861
JCHAIN,THBS1,PLXNB2,KRT23,NMUR1,LINC01550
KCNG1,TMEM144,PPP1R17,LILRA5,PDGFD,LRRN3
KCNH8,TMEM150B,PTGDR2,LILRB2,PDZD4,MAL
KLHL14,VCAN,PTPN13,LRG1,PLEKHF1,NELL2
LARGE2,VCAN-AS1,RHOC,LRRC25,PPP2R2B,NOG
LCN10,ZNF385A,SASH1,LUCAT1,PRSS23,NPDC1
LINC00494,,SLC2A6,MANSC1,PTGDR,OBSCN
LINC00926,,SPRED1,MGAM,RAB27B,PLCG1
LINC02397,,TBC1D8,MME,RNF165,PLXDC1
MS4A1,,TCF7L2,MMP25,RORA,PRKCQ-AS1
MZB1,,TMTC1,MMP9,S1PR5,RCAN3
OSBPL10,,TNFRSF8,MNDA,SAMD3,RNF157
P2RX5,,VENTX,NAMPT,SBK1,RTKN2
PALM2-AKAP2,,ZNF703,NAMPTP1,SH2D1A,SIRPG
PAX5,,,NFAM1,SH2D1B,SPOCK2
PCDH9,,,P2RY13,SH2D2A,TBC1D4
PLEKHG1,,,PADI2,SPON2,TC2N
POU2AF1,,,PANX2,SPTSSB,TCF7
RAB30,,,PHOSPHO1,STAT4,TESPA1
RALGPS2,,,PI3,SYTL2,THEMIS
RASGRP3,,,PLBD1,TBX21,TNFRSF25
SLC38A11,,,PLIN4,TGFBR3,TRABD2A
SPIB,,,PLIN5,TRGC1,TRAT1
STAP1,,,PROK2,TSPOAP1,TRBC1
SYNPO,,,PTGS2,TXK,TRBV20-1
TBC1D27P,,,PYGL,ZAP70,TSHZ2
TCL1A,,,RGS2,,UBASH3A
TCL6,,,S100A12,,
TNFRSF13B,,,S100A8,,
VPREB3,,,S100A9,,
